year,city,country,avg_temp,moving_average
1828,Victoria,Canada,6.83,
1829,Victoria,Canada,6.58,
1830,Victoria,Canada,,
1831,Victoria,Canada,,
1832,Victoria,Canada,3.25,
1833,Victoria,Canada,7.27,
1834,Victoria,Canada,6.81,6.15
1835,Victoria,Canada,5.35,5.85
1836,Victoria,Canada,6.52,5.84
1837,Victoria,Canada,6.61,5.97
1838,Victoria,Canada,6.37,6.03
1839,Victoria,Canada,7.12,6.58
1840,Victoria,Canada,6.45,6.46
1841,Victoria,Canada,6.59,6.43
1842,Victoria,Canada,6.64,6.61
1843,Victoria,Canada,6.25,6.58
1844,Victoria,Canada,6.15,6.51
1845,Victoria,Canada,6.62,6.55
1846,Victoria,Canada,,6.45
1847,Victoria,Canada,8.75,6.83
1848,Victoria,Canada,6.34,6.79
1849,Victoria,Canada,6.36,6.75
1850,Victoria,Canada,6.78,6.83
1851,Victoria,Canada,7.56,7.07
1852,Victoria,Canada,6.9,7.12
1853,Victoria,Canada,7.29,7.14
1854,Victoria,Canada,6.73,6.85
1855,Victoria,Canada,7.01,6.95
1856,Victoria,Canada,7.27,7.08
1857,Victoria,Canada,7.62,7.20
1858,Victoria,Canada,6.56,7.05
1859,Victoria,Canada,6.01,6.93
1860,Victoria,Canada,7.39,6.94
1861,Victoria,Canada,6.84,6.96
1862,Victoria,Canada,6.04,6.82
1863,Victoria,Canada,7.07,6.79
1864,Victoria,Canada,7.32,6.75
1865,Victoria,Canada,6.77,6.78
1866,Victoria,Canada,7.05,6.93
1867,Victoria,Canada,6.77,6.84
1868,Victoria,Canada,6.9,6.85
1869,Victoria,Canada,8.09,7.14
1870,Victoria,Canada,7.6,7.21
1871,Victoria,Canada,7.67,7.26
1872,Victoria,Canada,7.22,7.33
1873,Victoria,Canada,7.32,7.37
1874,Victoria,Canada,7.03,7.40
1875,Victoria,Canada,6.36,7.33
1876,Victoria,Canada,6.69,7.13
1877,Victoria,Canada,7.96,7.18
1878,Victoria,Canada,7.93,7.22
1879,Victoria,Canada,6.52,7.12
1880,Victoria,Canada,5.73,6.89
1881,Victoria,Canada,6.62,6.83
1882,Victoria,Canada,6.7,6.88
1883,Victoria,Canada,6.76,6.89
1884,Victoria,Canada,6.59,6.69
1885,Victoria,Canada,8.38,6.76
1886,Victoria,Canada,7.52,6.90
1887,Victoria,Canada,6.32,6.98
1888,Victoria,Canada,7.47,7.11
1889,Victoria,Canada,7.75,7.26
1890,Victoria,Canada,6.69,7.25
1891,Victoria,Canada,7.24,7.34
1892,Victoria,Canada,7.25,7.18
1893,Victoria,Canada,5.94,6.95
1894,Victoria,Canada,6.62,6.99
1895,Victoria,Canada,7.13,6.95
1896,Victoria,Canada,6.88,6.82
1897,Victoria,Canada,7.15,6.89
1898,Victoria,Canada,7.41,6.91
1899,Victoria,Canada,6.91,6.86
1900,Victoria,Canada,7.6,7.10
1901,Victoria,Canada,7.12,7.17
1902,Victoria,Canada,7.05,7.16
1903,Victoria,Canada,6.75,7.14
1904,Victoria,Canada,7.37,7.17
1905,Victoria,Canada,7.39,7.17
1906,Victoria,Canada,7.83,7.30
1907,Victoria,Canada,6.85,7.19
1908,Victoria,Canada,7.19,7.20
1909,Victoria,Canada,6.24,7.09
1910,Victoria,Canada,7.05,7.13
1911,Victoria,Canada,6.31,6.98
1912,Victoria,Canada,7.19,6.95
1913,Victoria,Canada,6.58,6.77
1914,Victoria,Canada,7.56,6.87
1915,Victoria,Canada,8.09,7.00
1916,Victoria,Canada,5.8,6.94
1917,Victoria,Canada,6.68,6.89
1918,Victoria,Canada,7.47,7.05
1919,Victoria,Canada,6.61,6.97
1920,Victoria,Canada,6.99,7.03
1921,Victoria,Canada,6.76,6.91
1922,Victoria,Canada,6.37,6.67
1923,Victoria,Canada,7.55,6.92
1924,Victoria,Canada,7.3,7.01
1925,Victoria,Canada,8.13,7.10
1926,Victoria,Canada,8.42,7.36
1927,Victoria,Canada,6.95,7.35
1928,Victoria,Canada,7.79,7.50
1929,Victoria,Canada,6.71,7.55
1930,Victoria,Canada,7.02,7.47
1931,Victoria,Canada,7.89,7.56
1932,Victoria,Canada,7.27,7.44
1933,Victoria,Canada,6.88,7.22
1934,Victoria,Canada,8.63,7.46
1935,Victoria,Canada,7.2,7.37
1936,Victoria,Canada,7.3,7.46
1937,Victoria,Canada,6.98,7.45
1938,Victoria,Canada,7.77,7.43
1939,Victoria,Canada,8.06,7.55
1940,Victoria,Canada,8.7,7.81
1941,Victoria,Canada,8.69,7.81
1942,Victoria,Canada,8,7.93
1943,Victoria,Canada,7.17,7.91
1944,Victoria,Canada,7.85,8.03
1945,Victoria,Canada,7.37,7.98
1946,Victoria,Canada,7.23,7.86
1947,Victoria,Canada,7.65,7.71
1948,Victoria,Canada,6.66,7.42
1949,Victoria,Canada,6.7,7.23
1950,Victoria,Canada,6.44,7.13
1951,Victoria,Canada,6.92,7.00
1952,Victoria,Canada,7.25,6.98
1953,Victoria,Canada,8.01,7.09
1954,Victoria,Canada,6.79,6.97
1955,Victoria,Canada,5.81,6.85
1956,Victoria,Canada,6.9,6.87
1957,Victoria,Canada,7.21,6.98
1958,Victoria,Canada,9.03,7.29
1959,Victoria,Canada,7.23,7.28
1960,Victoria,Canada,7.35,7.19
1961,Victoria,Canada,7.92,7.35
1962,Victoria,Canada,7.49,7.59
1963,Victoria,Canada,7.82,7.72
1964,Victoria,Canada,6.69,7.65
1965,Victoria,Canada,7.51,7.43
1966,Victoria,Canada,7.48,7.47
1967,Victoria,Canada,8.16,7.58
1968,Victoria,Canada,7.44,7.51
1969,Victoria,Canada,7.17,7.47
1970,Victoria,Canada,7.28,7.39
1971,Victoria,Canada,6.77,7.40
1972,Victoria,Canada,6.76,7.29
1973,Victoria,Canada,7.23,7.26
1974,Victoria,Canada,7.62,7.18
1975,Victoria,Canada,6.8,7.09
1976,Victoria,Canada,7.28,7.11
1977,Victoria,Canada,7.38,7.12
1978,Victoria,Canada,7.5,7.22
1979,Victoria,Canada,7.65,7.35
1980,Victoria,Canada,7.47,7.39
1981,Victoria,Canada,8.05,7.45
1982,Victoria,Canada,7.13,7.49
1983,Victoria,Canada,7.88,7.58
1984,Victoria,Canada,7.17,7.55
1985,Victoria,Canada,6.61,7.42
1986,Victoria,Canada,8.03,7.48
1987,Victoria,Canada,8.56,7.63
1988,Victoria,Canada,7.92,7.61
1989,Victoria,Canada,7.67,7.69
1990,Victoria,Canada,7.82,7.68
1991,Victoria,Canada,7.89,7.79
1992,Victoria,Canada,8.77,8.09
1993,Victoria,Canada,7.69,8.05
1994,Victoria,Canada,8.27,8.00
1995,Victoria,Canada,8.49,8.09
1996,Victoria,Canada,7.16,8.01
1997,Victoria,Canada,8.23,8.07
1998,Victoria,Canada,8.72,8.19
1999,Victoria,Canada,7.69,8.04
2000,Victoria,Canada,7.63,8.03
2001,Victoria,Canada,7.77,7.96
2002,Victoria,Canada,7.82,7.86
2003,Victoria,Canada,8.48,8.05
2004,Victoria,Canada,8.95,8.15
2005,Victoria,Canada,8.38,8.10
2006,Victoria,Canada,8.31,8.19
2007,Victoria,Canada,7.72,8.20
2008,Victoria,Canada,7.3,8.14
2009,Victoria,Canada,7.8,8.13
2010,Victoria,Canada,8.33,8.11
2011,Victoria,Canada,7.21,7.86
2012,Victoria,Canada,7.85,7.79
2013,Victoria,Canada,9.85,8.01
